frame cellnumber x-cent y-cent actinedge filopodia bleb lamellipodia 
1.000000000000000000e+00 1.000000000000000000e+00 1.930000000000000000e+02 3.270000000000000000e+02 2.795974660625555092e-07 9.993970126766642537e-01 2.008559357551760469e-07 6.025068699339944638e-04
2.000000000000000000e+00 1.000000000000000000e+00 1.830000000000000000e+02 3.200000000000000000e+02 5.361475768285570029e-08 9.996613293604159622e-01 8.531082607423303925e-07 3.377639165655571063e-04
3.000000000000000000e+00 1.000000000000000000e+00 1.770000000000000000e+02 3.190000000000000000e+02 1.297943458364161803e-10 9.999910346278992890e-01 6.769518353931883757e-06 2.195723952264697438e-06
4.000000000000000000e+00 1.000000000000000000e+00 1.800000000000000000e+02 3.200000000000000000e+02 9.687344758423943699e-09 9.999442798642416141e-01 5.559332933984470357e-05 1.171190735712815481e-07
5.000000000000000000e+00 1.000000000000000000e+00 1.840000000000000000e+02 3.220000000000000000e+02 2.724928066324580725e-05 9.114988054355986913e-01 2.743480392354741542e-03 8.573046489138357040e-02
6.000000000000000000e+00 1.000000000000000000e+00 1.750000000000000000e+02 3.260000000000000000e+02 6.453667561027496657e-05 9.889551060989512088e-01 3.837632403537023865e-05 1.094198090140315917e-02
7.000000000000000000e+00 1.000000000000000000e+00 1.470000000000000000e+02 3.250000000000000000e+02 9.409740562089281778e-07 9.985891127982847726e-01 1.894147664454898939e-06 1.408052079994553431e-03
8.000000000000000000e+00 1.000000000000000000e+00 1.450000000000000000e+02 3.250000000000000000e+02 1.777685760391384695e-14 9.999998634283805421e-01 3.656564238677883130e-08 1.000059591580115999e-07
9.000000000000000000e+00 1.000000000000000000e+00 1.480000000000000000e+02 3.230000000000000000e+02 2.673659722466769782e-04 9.772673997077079289e-01 1.524025498236142588e-04 2.231283177022186370e-02
1.000000000000000000e+01 1.000000000000000000e+00 1.520000000000000000e+02 3.210000000000000000e+02 3.121925529347386458e-03 7.854670153476661643e-02 7.684757794125067314e-03 9.106466151417610400e-01
1.100000000000000000e+01 1.000000000000000000e+00 1.390000000000000000e+02 3.540000000000000000e+02 8.588387581803356584e-05 5.386126908374365696e-01 2.040502461878281390e-05 4.612810202621266398e-01
1.200000000000000000e+01 1.000000000000000000e+00 1.380000000000000000e+02 3.550000000000000000e+02 6.189371150141843954e-10 9.999826280373902421e-01 1.727033845675600846e-05 1.010052158725891580e-07
1.300000000000000000e+01 1.000000000000000000e+00 1.340000000000000000e+02 3.530000000000000000e+02 5.381095840839700855e-10 9.999884850592767327e-01 1.141376331304703585e-05 1.006393007648978383e-07
1.400000000000000000e+01 1.000000000000000000e+00 1.420000000000000000e+02 3.380000000000000000e+02 1.646440248315897399e-14 9.999998666665567137e-01 3.333336688121647952e-08 1.000000598947958226e-07
